Room Wise Time Table for 2020 Spring Semester (Lectures & Tutorials) ,,,,,,,,,,,
Day,Room,08:00 - 08:55,09:00 - 09:55,10:00 - 10:55,11:00 - 11:55,12:00 - 12:55,13:00 - 13:55,14:00 - 14:55,15:00 - 15:55,16:00 - 16:55,17:00 - 17:55
Monday ,1E -104,,L:BSE 102,L:MA 106(A),L:PH 106,L:HS 206,L:HS 742,,L:AA 474N/674N,L:HS 626,L:IHS 444
,1E -201,,,L:EE 202,,,,,,,
,1E -202A,,T:MA 612,L:CE 202,,L:HS 210,L:MA 620,,,,
,1E -202B,,L:CE 310,L:CE 302,L:CE 304,,L:MA 734,,,,
,1E  -203,,L:EE 304,L:EE 302,,L:HS 214,,,,,
,1E -204,,,L:HS 616,,L:HS 216,,,,,
,1E -205,,L:EE 430/630,L:EE 440/640,L:IHS 443/643,,L:EE 447/647,L:MA 640,L:EE 428/628,L:CE 408,L:MA 680
,1E -303,,L:ME 401,L:ME 202,,,L:EE 644,,L:MA 742,L:EE 638,T:MA 736
,1E -304,,,L:ME 302,L:ME 306,L:CH 202,L:CS 419/619,,L:CE 436,,L:HS 208
,1E -305,,,L:PH 790,,L:AA 202N,L:ME 418/618,L:ME 650,L:ME 460/660,L:ME 437/637,T:ME 413/613
,1E -404,,,L:MM 202,,,L:PH 622,,,,
,1E -406,,L:MM 442/642,L:MM 402/602,L:MM 310,,,,,,
,1E -408,,L:CE 438,L:CE 402,,,,,,,
,1E -505,,L:CS 204,L:CS 202,,,L:AA 602N,P : MA 204CS,,L:AA 606,
,1E -506,,L:HS 747,L:CS 302,,,L:MSE 725,,L:CS 417/617,L:CS 420/620,
,1B -201,L:MA 204,,L:CH 103,,L: MA 106(B),,L:IHS 402,,,L:HS 302/ ES 302
,1D -207,,,,,,L:MM 646,,L:MM 448/648,L:MM 656,T:MSE 724
,1D -105,,,,,,,,,,
,SB -115,,,,,,,,,,
,SB -208,,,L:CH 642,L:CH 604,L:CH 602,,L:CH 708,T:CH 706,L:CH 720,
,SB -209,,,,,,,,L:BSE 602,,
,SB -314A,,,,,,,L:BSE 616,L:BSE 606,,T:BSE 614
,SB -314B,,,,,,,,L:BSE 612,,
Tuesday ,1E -104,,,,L:BSE 102,L:ME 106,,L:HS 608,L:IHS 482,L:AA 474N/674N,T:HS 626
,1E -201,,L:EE 206,L:EE 208,,,,P:MA 204EE,,T:EE 202,
,1E -202A,,L:CE 206,L:CE 208,,,,L:MA 452/652,,,
,1E -202B,,L:CE 308,L:HS 606,L:CE 310,L:CE 306,,L:MA 612,L:MA 780,,
,1E  -203,,,L:EE 306,L:EE 304,,,L:HS 724,,,
,1E -204,L: HS 641,,,,,,,,,
,1E -205,,,L:EE 446/646,L:EE 430/630,,L:MA 640,L:EE 431/631,,L:EE 428/628,
,1E -303,,L:ME 206,L:ME 208,L:ME 401,,,L:EE 642,L:EE 740,L:MA 742,T:EE 638
,1E -304,,L:ME 308,L:ME 432/632,,L:ME 304,,,L:ME 411/611,L:CE 436,L:HS 208
,1E -305,,L:ME 472/672,L:ME 407/607,,L:PH 624,L:ME 650,L:ME 438/738,L:ME 434/634,L:ME 460/660,T:ME 437/637
,1E -404,,,L:MM 204,,L:MM 208,,L:PH 620,L:PH 660,,
,1E -406,,L:MM 308,L:MM 302,L:MM 442/642,L:MM 306,,L:MM 488/688,L:MM 430/730,,
,1E -408,,,L:CE 406,L:CE 438,,,L:CE 404,L:CE 426,T:ME 202,
,1E -505,,,L:CS 206,L:CS 204,,,L:AA 478/678,L:CE 448,,T:AA 606
,1E -506,,L:CS 308,L:CS 304N,T:HS 747,,,,T:AA 608N,L:CS 417/617,T:CS 420/620
,1B -201,,L:HS 108,,,L:PH 105,L:IHS 402,,,,L:HS 302/ ES 302
,1D -207,,,,,,,,,L:MM 448/648,
,1D -105,,,,,,,,,,
,SB -115,,,,,,,,,,
,SB -208,,,L:CH 720,L:CH 624,,,,,,
,SB -209,,,,,,,L:BSE 607,,T:BSE 602,
,SB -314A,,,L:BSE 404/604,,,L:BSE 616,L:BSE 610,L:BSE 618,L:BSE 606,
,SB -314B,,,,,,,,L:BSE 702,L:BSE 612,
Wednesday,1E -104,,,,L:EE 104,L:ME 106,L:HS 608,L:IHS 444,L:IHS 482,L:HS 626,
,1E -201,,L:EE 206,L:EE 208,L:EE 204,,,,,,T:EE 304
,1E -202A,,L:CE 206,L:CE 208,L:CE 204,,L:MA 452/652,,,,
,1E -202B,,L:CE 308,L:HS 606,,L:CE 306,L:MA 612,,L:MA 780,,
,1E  -203,,,L:EE 306,L:EE 308,,L:HS 724,P:MA 204ME,,T:ME 206,
,1E -204,,,,L:MA 706,,,,,,
,1E -205,,,L:EE 446/646,L:MA 610,,L:EE 431/631,L:MA 680,T:MA 640,L:CE 408,
,1E -303,,L:ME 206,L:ME 208,L:ME 204,,L:EE 642,L:MA 736,L:EE 740,L:EE 638,
,1E -304,,L:ME 308,L:ME 432/632,L:HS 418/618,L:ME 304,,,L:ME 411/611,T:ME 306,
,1E -305,,L:ME 472/672,L:ME 407/607,L:ME 464/764,L:PH 624,L:ME 438/738,L:ME 413/613,L:ME 434/634,L:ME 437/637,
,1E -404,,,L:MM 204,L:MM 206,L:MM 208,L:PH 620,,L:PH 660,,
,1E -406,,L:MM 308,L:MM 302,L:MM 304,L:MM 306,L:MM 488/688,,L:MM 430/730,,
,1E -408,,,L:CE 406,L:AA 472N/672N,,L:CE 404,,L:CE 426,,
,1E -505,,,L:CS 206,L:CS 208,,L:AA 478/678,,L:CE 448,L:AA 606,
,1E -506,,L:CS 308,L:CS 304N,L:CS 306,,,,L:AA 608N,L:CS 420/620,
,1B -201,L:MA 204,L:HS 108,L:IC 153,L:CS 103,L:PH 105,,,,,L:HS 412/612
,1D -207,,,,L:MM 644,,,L:MSE 724,,L:MM 656,
,1D -105,,,,,,,,,,
,SB -115,,,,,,,,,,
,SB -208,,,T:CH 642,L:CH 604,L:CH 602,,L:CH 708,L:CH 706,,
,SB -209,,,,,,L:BSE 607,,,,
,SB -314A,,,L:BSE 404/604,,,L:BSE 610,L:BSE 614,L:BSE 618,,
,SB -314B,,,,,,,,L:BSE 702,,
Thursday,1E -104,,,L:MA 106(A),L:PH 106,L:HS 206,,T:MA 706,L:HS 742,T:IHS 482,
,1E -201,,T:EE 206,L:EE 202,,,,T:EE 204,,,T:EE 208
,1E -202A,,T:CE 206,L:CE 202,,L:HS 210,,T:CE 204,L:MA 620,,T:CE 208
,1E -202B,,L:CE 308,L:CE 302,L:CE 304,,,,L:MA 734,T:MA 780,T:HS 606
,1E  -203,,,L:EE 302,,L:HS 214,,T:EE 308,P : MA 204CE,,T:EE 306
,1E -204,P: HS 641,,L:HS 616,,L:HS 216,,,,,
,1E -205,,T:MA 610,L:EE 440/640,L:IHS 443/643,,L:MA 640,L:MA 610,L:EE 447/647,,T:EE 446/646
,1E -303,,T:ME 206,L:ME 202,,,,T:ME 204,L:EE 644,T:EE 740,T:ME 208
,1E -304,,T:ME 308,L:ME 302,L:ME 306,L:CH 202,,T:HS 418/618,L:CS 419/619,T:ME 411/611,T:ME 432/632
,1E -305,,T:ME 401,L:PH 790,,L:AA 202N,,T:ME 464/764,L:ME 418/618,T:ME 434/634,T:ME 407/607
,1E -404,,,L:MM 202,,,,T:MM 206,L:PH 622,T:PH 660,T:MM 204
,1E -406,,T:MM 308,L:MM 402/602,L:MM 310,,,T:MM 304,,T:MM 430/730,T:MM 302
,1E -408,,,L:CE 402,,,,L:AA 472N/672N,,T:CE 426,T:CE 406
,1E -505,,,L:CS 202,,,,T:CS 208,L:AA 602N,T:CE 448,T:CS 206
,1E -506,,T:CS 308,L:CS 302,,,,T:CS 306,L:MSE 725,L:AA 608N,T:CS 304N
,1B -201,L:MA 204,L:HS 108,L:CH 103,,L: MA 106(B),L:IHS 402,,,,
,1D -207,,,,,,,T:MM 644,L:MM 646,,
,1D -105,,,,,,,,,,
,SB -115,,,,,,,,,,
,SB -208,,,L:CH 720,L:CH 624,,,,,,
,SB -209,,,,,,,,,,
,SB -314A,,,,,,T:BSE 616,,,T:BSE 618,T:BSE 404/604
,SB -314B,,,,,,,,,T:BSE 702,
Friday,1E -104,,,L:MA 106(A),L:EE 104,,T:AA 474N/674N,T:HS 608,L:IHS 444,T:HS 742,
,1E -201,,,L:EE 202,L:EE 204,,,,,,
,1E -202A,,,T:CE 202,L:CE 204,,,T:MA 452/652,,T:MA 620,
,1E -202B,,T:CE 310,T:CE 302,,T:CE 306,,L:MA 612,,T:MA 734,T:CE 304
,1E  -203,,L:EE 304,T:EE 302,L:EE 308,,,T:HS 724,P : MA 204MM,,
,1E -204,,,T:HS 616,T:MA 706,,,,,,
,1E -205,,T:EE 430/630,T:EE 440/640,L:MA 610,,T:EE 428/628,T:EE 431/631,L:MA 680,T:EE 447/647,T:IHS 443/643
,1E -303,,T:ME 401,L:ME 202,L:ME 204,,T:MA 742,T:EE 642,L:MA 736,T:EE 644,
,1E -304,,,T:ME 302,T:HS 418/618,T:ME 304,T:CE 436,,,T:CS 419/619,T:ME 306
,1E -305,,,T:PH 790,T:ME 464/764,L:PH 624,T:ME 460/660,T:ME 438/738,L:ME 413/613,T:ME 418/618,
,1E -404,,,T:MM 202,L:MM 206,T:MM 208,,T:PH 620,,T:PH 622,
,1E -406,,T:MM 442/642,T:MM 402/602,L:MM 304,T:MM 306,,T:MM 488/688,,,T:MM 310
,1E -408,,T:CE 438,T:CE 402,T:AA 472N/672N,,,T:CE 404,,,
,1E -505,,T:CS 204,T:CS 202,L:CS 208,,,T:AA 478/678,,T:AA 602N,
,1E -506,,T:HS 747,T:CS 302,L:CS 306,,T:CS 417/617,,,T:MSE 725,
,1B -201,L: MA 106(B),,T:CH 103,L:CS 103,,,,,,
,1D -207,,,,,,,,L:MSE 724,T:MM 646,
,1D -105,,,,,,,,,,
,SB -115,,,,,,,,,,
,SB -208,,,L:CH 642,T:CH 604,T:CH 602,,T:CH 624,L:CH 706,T:CH 708,
,SB -209,,,,,,T:BSE 602,T:BSE 607,,,
,SB -314A,,,,,,T:BSE 606,T:BSE 610,L:BSE 614,,
,SB -314B,,,,,,T:BSE 612,,,,
Saturday ,1E -104,,,,,T:HS 206,,,,,
,1E -201,,,,,,,,,,
,1E -202A,,,,,T:HS 210,,,,,
,1E -202B,,,,T:HS 208,,,,,,
,1E  -203,,,,,T:HS 214,,,,,
,1E -204,,,,,T:HS 216,,,,,
,1E -205,,,,,,,,,,
,1E -303,,,,,,,,,,
,1E -304,,,,,T:CH 202,,,,,
,1E -305,,,,,T:AA 202N,,,,,
,1E -404,,,,,,,,,,
,1E -406,,,,,,,,,,
,1E -408,,,,,,,,,,
,1E -505,,,,,,,,,,
,1E -506,,,,,,,,,,
,1B -201,,,,L:HS 302/ ES 302,,,L:HS 412/612,T:HS 412/612,,
,1D -207,,,,,,,,,,
,1D -105,,,,,,,,,,
,SB -115,,,,,,,,,,
,SB -209,,,,,,,,,,
,SB -314A,,,,,,,,,,
,SB -314B,,,,,,,,,,